"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"151";2;4;4;4;4;4;4;4;4
"152";2;5;7;9;10;13;15;17;17
"153";2;4;4;4;4;4;4;4;4
"154";2;4;4;4;4;4;4;4;4
"155";2;5;7;9;10;13;14;14;14
"156";2;5;7;9;10;13;14;14;14
"157";2;5;7;9;10;12;12;12;12
"158";2;5;7;9;10;13;14;14;14
"159";2;5;7;9;10;12;12;12;12
"160";2;5;7;9;10;13;14;14;14
"161";2;5;7;9;10;13;15;16;16
"162";2;5;7;9;10;13;14;14;14
"163";2;5;7;9;10;13;15;17;17
"164";2;5;7;9;10;13;15;17;17
"165";2;5;7;9;10;13;15;17;17
"166";2;5;7;9;10;13;15;17;17
"167";2;5;7;9;10;13;15;17;17
"168";2;4;4;4;4;4;4;4;4
"169";2;5;6;6;6;6;6;6;18
"170";2;5;6;6;6;6;6;6;18
"171";2;5;6;6;6;6;6;6;18
"172";2;5;6;6;6;6;6;6;18
"173";2;5;6;6;6;6;6;6;18
"174";2;5;6;6;6;6;6;6;18
"175";2;5;6;6;6;6;6;6;18
"176";2;5;6;6;6;6;6;6;18
"177";2;5;6;6;6;6;6;6;18
"178";2;5;6;6;6;6;6;6;18
"179";2;5;6;6;6;6;6;6;18
"180";2;5;7;9;10;12;12;12;12
"181";2;5;7;9;10;13;15;17;17
"182";2;5;7;9;10;12;12;12;12
"183";2;4;4;4;4;4;4;4;4
"184";2;5;7;9;10;13;15;16;16
"185";2;5;6;6;6;6;6;6;18
"186";2;5;6;6;6;6;6;6;18
"187";2;5;6;6;6;6;6;6;18
"188";2;4;4;4;4;4;4;4;4
"189";2;5;7;9;10;13;15;17;17
"190";2;5;7;9;10;13;15;17;17
"191";2;5;7;9;10;13;15;16;16
"192";2;5;7;9;10;13;15;17;17
"193";2;5;6;6;6;6;6;6;18
"194";2;5;6;6;6;6;6;6;18
"195";2;5;6;6;6;6;6;6;18
"196";2;5;6;6;6;6;6;6;18
"197";2;5;6;6;6;6;6;6;18
"198";2;5;7;9;10;13;15;17;17
"199";2;5;6;6;6;6;6;6;18
"200";2;5;7;9;10;13;15;17;17
"201";2;5;6;6;6;6;6;6;18
"202";2;5;6;6;6;6;6;6;18
"203";2;5;6;6;6;6;6;6;18
"204";2;5;6;6;6;6;6;6;18
"205";2;5;6;6;6;6;6;6;18
"206";2;5;6;6;6;6;6;6;18
"207";2;4;4;4;4;4;4;4;4
"208";2;5;6;6;6;6;6;6;18
"209";2;5;6;6;6;6;6;6;18
"210";2;5;6;6;6;6;6;6;18
"211";2;5;7;9;10;12;12;12;12
"212";2;5;7;9;10;12;12;12;12
"213";2;5;7;9;10;12;12;12;12
"214";2;5;7;9;10;12;12;12;12
"215";2;5;7;9;11;11;11;11;11
"216";2;5;7;9;11;11;11;11;11
"217";2;5;7;9;11;11;11;11;11
"218";2;5;7;9;10;12;12;12;12
"219";2;5;7;9;10;12;12;12;12
"220";2;5;7;9;10;12;12;12;12
"221";2;5;7;9;11;11;11;11;11
"222";2;5;6;6;6;6;6;6;19
"223";2;5;7;9;10;13;15;17;17
"224";2;5;7;9;11;11;11;11;11
"225";2;5;7;9;11;11;11;11;11
"226";2;5;7;9;10;12;12;12;12
"227";2;5;7;9;11;11;11;11;11
"228";2;5;7;9;11;11;11;11;11
"229";2;5;7;9;10;12;12;12;12
"230";2;5;6;6;6;6;6;6;18
"231";2;5;7;9;10;12;12;12;12
"232";2;5;7;9;10;12;12;12;12
"233";2;5;7;9;11;11;11;11;11
"234";2;5;6;6;6;6;6;6;18
"235";2;5;7;9;11;11;11;11;11
"236";2;5;7;9;10;12;12;12;12
"237";2;5;6;6;6;6;6;6;18
"238";2;5;6;6;6;6;6;6;18
"239";2;5;7;9;10;12;12;12;12
"240";2;5;7;9;10;13;15;17;17
"241";2;5;7;9;10;12;12;12;12
"242";2;5;7;9;10;12;12;12;12
"243";2;5;7;9;10;12;12;12;12
"244";2;5;7;9;10;13;15;17;17
"245";2;5;7;9;10;12;12;12;12
"246";2;5;7;9;10;12;12;12;12
"247";2;5;7;9;10;13;15;16;16
"248";2;5;7;9;10;13;15;17;17
