%%MatrixMarket matrix coordinate integer general
671 1035 8698
1 1 1
2 1 1
4 1 1
7 1 1
11 1 1
12 1 1
13 1 1
14 1 1
16 1 1
17 1 1
21 1 1
22 1 1
24 1 1
36 1 1
43 1 1
47 1 1
48 1 1
63 1 1
64 1 1
111 1 1
112 1 1
116 1 1
122 1 1
125 1 1
136 1 1
137 1 1
140 1 1
141 1 1
146 1 1
167 1 1
170 1 1
177 1 1
178 1 1
187 1 1
196 1 1
198 1 1
199 1 1
211 1 1
216 1 1
217 1 1
219 1 1
222 1 1
223 1 1
230 1 1
233 1 1
236 1 1
240 1 1
241 1 1
242 1 1
243 1 1
244 1 1
248 1 1
250 1 1
253 1 1
257 1 1
259 1 1
264 1 1
268 1 1
270 1 1
271 1 1
273 1 1
274 1 1
276 1 1
277 1 1
279 1 1
282 1 1
287 1 1
288 1 1
289 1 1
290 1 1
293 1 1
298 1 1
299 1 1
306 1 1
307 1 1
308 1 1
310 1 1
312 1 1
316 1 1
317 1 1
318 1 1
319 1 1
320 1 1
324 1 1
331 1 1
332 1 1
333 1 1
336 1 1
337 1 1
375 1 1
376 1 1
380 1 1
381 1 1
382 1 1
383 1 1
384 1 1
390 1 1
395 1 1
400 1 1
401 1 1
403 1 1
404 1 1
405 1 1
406 1 1
407 1 1
408 1 1
414 1 1
417 1 1
419 1 1
420 1 1
428 1 1
431 1 1
433 1 1
434 1 1
435 1 1
436 1 1
445 1 1
448 1 1
453 1 1
455 1 1
468 1 1
469 1 1
470 1 1
471 1 1
473 1 1
474 1 1
475 1 1
476 1 1
477 1 1
480 1 1
481 1 1
482 1 1
483 1 1
484 1 1
486 1 1
487 1 1
489 1 1
490 1 1
491 1 1
492 1 1
494 1 1
497 1 1
498 1 1
499 1 1
500 1 1
501 1 1
505 1 1
506 1 1
507 1 1
509 1 1
510 1 1
511 1 1
512 1 1
513 1 1
515 1 1
516 1 1
520 1 1
522 1 1
536 1 1
541 1 1
542 1 1
546 1 1
563 1 1
565 1 1
566 1 1
568 1 1
573 1 1
576 1 1
582 1 1
585 1 1
587 1 1
593 1 1
604 1 1
606 1 1
611 1 1
612 1 1
613 1 1
616 1 1
617 1 1
619 1 1
622 1 1
623 1 1
627 1 1
630 1 1
631 1 1
632 1 1
633 1 1
634 1 1
635 1 1
638 1 1
639 1 1
640 1 1
641 1 1
642 1 1
643 1 1
644 1 1
645 1 1
646 1 1
647 1 1
657 1 1
662 1 1
663 1 1
664 1 1
670 1 1
4 2 1
5 2 1
8 2 1
10 2 1
16 2 1
24 2 1
47 2 1
54 2 1
63 2 1
64 2 1
65 2 1
66 2 1
67 2 1
68 2 1
69 2 1
70 2 1
73 2 1
75 2 1
76 2 1
77 2 1
78 2 1
80 2 1
81 2 1
82 2 1
83 2 1
84 2 1
85 2 1
87 2 1
88 2 1
89 2 1
92 2 1
93 2 1
94 2 1
96 2 1
99 2 1
100 2 1
106 2 1
107 2 1
108 2 1
109 2 1
111 2 1
112 2 1
114 2 1
119 2 1
122 2 1
173 2 1
179 2 1
199 2 1
202 2 1
213 2 1
219 2 1
221 2 1
231 2 1
232 2 1
235 2 1
242 2 1
245 2 1
251 2 1
252 2 1
255 2 1
256 2 1
259 2 1
263 2 1
264 2 1
267 2 1
306 2 1
309 2 1
310 2 1
319 2 1
336 2 1
344 2 1
361 2 1
401 2 1
414 2 1
417 2 1
420 2 1
422 2 1
423 2 1
424 2 1
428 2 1
439 2 1
440 2 1
441 2 1
444 2 1
446 2 1
448 2 1
449 2 1
475 2 1
493 2 1
494 2 1
495 2 1
500 2 1
501 2 1
503 2 1
505 2 1
515 2 1
522 2 1
532 2 1
533 2 1
535 2 1
537 2 1
538 2 1
539 2 1
541 2 1
542 2 1
546 2 1
548 2 1
549 2 1
550 2 1
551 2 1
552 2 1
553 2 1
558 2 1
560 2 1
564 2 1
565 2 1
566 2 1
567 2 1
568 2 1
571 2 1
579 2 1
581 2 1
584 2 1
608 2 1
611 2 1
613 2 1
618 2 1
619 2 1
620 2 1
622 2 1
623 2 1
630 2 1
641 2 1
642 2 1
