"";"V1"
"639";0
"640";1
"641";1
"642";1
"643";1
"644";1
"645";1
"646";0
"647";1
"648";1
"649";1
"650";3
"651";3
"652";0
"653";3
"654";3
"655";3
"656";3
"657";3
"658";3
"659";3
"660";3
"661";3
"662";3
"663";1
"664";1
"665";1
"666";1
"667";1
"668";1
"669";0
"670";1
"671";1
