"";"classe 1";"classe 2";"classe 3"
"babydoll";0,001;1;1
"archi";0,001;1;1
"al";1;0;1
"advance";1;1;0,012
"youtube";0,003;1;1
"white";0,258;1;0,549
"vermillio";1;0,02;1
"uk";1;0,689;0,066
"train";0,28;0,93;1
"threat";0,127;0,689;1
"thing";1;0,662;0,712
"teen";1;0,057;1
"synthetic";1;0,005;1
"september";1;1;0,184
"search";0,961;0,242;1
"safe";1;0,901;0,352
"provide";0,877;1;0,184
"professor";1;0,02;1
"prison";1;1;0
"pornographic";1;1;0,002
"plan";1;1;0,352
"place";0,023;1;1
"pay";0,001;1;1
"party";1;0,41;1
"organization";1;0,662;0,712
"office";1;1;0,067
"national";1;0,901;0,352
"minister";1;0,901;0,07
"mimic";0,877;0,159;1
"lose";1;0,132;1
"limit";0,733;0,495;1
"legal";1;0,901;0,07
"introduce";1;1;0,007
"internet";1;0,132;0,549
"imagine";0;1;1
"hour";0,496;1;0,958
"harmful";1;0,689;0,066
"great";0,496;0,901;1
"firm";1;0;1
"fear";0,496;0,901;1
"fast";1;0,005;1
"fall";1;0,005;1
"fact";1;0,002;1
"elon";1;1;0,022
"deal";1;0,052;1
"danger";1;0,901;0,958
"consumer";1;0,159;0,712
"completely";0,017;1;1
"common";1;0,052;1
"chatgpt";0,003;1;1
"catch";0,961;1;0,281
"brook";1;1;0
"bora";1;1;0,202
"artist";0,007;1;1
"american";1;0,159;1
"altman";0;1;1
"aim";1;1;0
"advertisement";1;0,003;1
"admit";1;1;0,158
"abuse";1;1;0,001
"ability";0,496;0,312;1
"young";1;0,017;1
"worry";1;0,662;0,184
"washington";1;0,495;1
"verification";1;0,495;1
"upload";0,003;1;1
"update";0,258;1;0,549
"threaten";1;0,901;0,352
"teach";1;1;0,022
"tackle";1;0,901;0,07
"statement";0,496;1;0,958
"star";0,007;1;1
"scammers";0,11;1;1
"safeguard";0,055;1;1
"rise";0,043;1;1
"review";0,877;1;0,712
"researcher";1;0,18;1
"replace";1;1;0,158
"relate";1;1;0,158
"regulation";1;0,93;0,202
"record";0,043;1;1
"quickly";1;0,132;1
"publish";1;0,005;1
"promote";0,055;1;1
"promise";1;1;0,352
"potential";0,125;1;0,958
"picture";0,043;1;1
"percent";1;0,159;0,712
"penalty";1;1;0,002
"owner";0,496;1;0,352
"open";0,877;1;0,712
"offence";1;1;0,001
"neely";1;0,005;1
"major";0,496;0,312;1
"live";0,277;1;1
"lieberman";1;1;0,007
"leader";0,733;0,495;1
"lawsuit";1;1;0
"korean";1;1;0,002
"jazeera";1;0,005;1
"instance";0,877;0,662;1
"insider";1;1;0,067
"incident";0,258;1;0,549
"grok";0,017;1;1
"girl";1;1;0,007
"future";0,258;1;1
"facebook";1;0,901;0,958
"executive";1;0,057;1
"effort";1;0,132;0,549
"digitally";1;1;0,007
"develop";1;0;1
"detect";1;0,005;1
"court";1;1;0
"continue";1;0,159;1
"circulate";0,017;1;1
"center";1;1;0
"care";0,125;0,901;1
"bad";1;0,132;1
"aware";1;1;0,158
"apps";0,055;1;1
"application";1;0,159;0,712
"amendment";1;1;0
"alter";1;1;0,026
"wave";0,277;1;0,712
"war";0,043;1;1
"unauthorized";1;1;0,022
"today";0,579;1;1
"teacher";1;1;0,001
"survey";1;0,901;0,07
"sue";0,579;1;1
"stand";1;1;0,202
"spot";0,496;0,312;1
"sora_s";0,003;1;1
"small";0,11;1;1
"slop";0,003;1;1
