"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"classe 1";0,972388385715343;-0,969373561498476;0,708203797811832;-0,706008059985789;0,576324157747049;0,423675842252949;0,32771773794557;0,325688754967095;0,346593507087334;0,812229252607003;0,228653406476096
"classe 2";0,41120867398448;1,44408161547546;0,273867556620388;0,96176741545489;0,0987879522465287;0,901212047753473;0,0519571145095428;0,640772652294298;0,307270233196159;0,829626376627165;0,211487932996154
"classe 3";-1,33870888413448;-0,31127831701937;-0,974015945103134;-0,226479444287663;0,961544462898608;0,0384555371013969;0,620325147544888;0,033538592738607;0,346136259716507;0,865712594412167;0,259414691433814
