"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"at";-0,0631659899253808;0,533731368815714;-0,117527708221341;0,993069603703708;NA;NA;NA;NA;NA;0,293832749333024;NA
"we";0,384909680468388;0,355917333682246;0,734217450175247;0,678914380358936;NA;NA;NA;NA;NA;0,311856379559193;NA
"also";-0,296612090724067;-0,00070895682857409;-0,999997143527659;-0,00239017499835516;NA;NA;NA;NA;NA;0,1880884136363;NA
"new";-0,267796304919595;-0,624784732034483;-0,39395834783396;-0,919128293641283;NA;NA;NA;NA;NA;0,380719304840151;NA
"her";-0,38940610924725;-0,671211579264327;-0,501817787346789;-0,864973356989898;NA;NA;NA;NA;NA;0,441567388910707;NA
"been";0,0519993724390571;0,215701094752896;0,234357700382936;0,972150435000274;NA;NA;NA;NA;NA;0,122174271106431;NA
"you";0,766298102918978;0,0565490697246147;0,997288209967329;0,0735950151855479;NA;NA;NA;NA;NA;0,486903614676632;NA
"more";0,457473035971604;-0,0437636377186776;0,995455381812217;-0,0952291070056463;NA;NA;NA;NA;NA;0,291073597320144;NA
"up";0,121384857309348;0,302676866121291;0,372220877817412;0,928144179595409;NA;NA;NA;NA;NA;0,182139599697787;NA
"one";0,31334643766197;-0,115820094401412;0,937976831669017;-0,346697942382346;NA;NA;NA;NA;NA;0,208498373498188;NA
"were";0,401057618882507;-0,36943707227034;0,735506815713256;-0,677517323792792;NA;NA;NA;NA;NA;0,324460807576067;NA
"like";0,75250941909251;-0,141445531876719;0,982789287510938;-0,184730117614165;NA;NA;NA;NA;NA;0,483377484757182;NA
"if";-0,19249300523267;-0,379532833789759;-0,452331936371876;-0,891849661847819;NA;NA;NA;NA;NA;0,240302522642115;NA
"who";-0,22371675807772;0,0956796393316254;-0,919440848947177;0,393228337340145;NA;NA;NA;NA;NA;0,151156422948735;NA
"its";0,309943441742227;-0,339270604956827;0,674476582219812;-0,738296241380844;NA;NA;NA;NA;NA;0,269937153972992;NA
"them";-0,329604589240428;0,179598143240982;-0,878103999131242;0,478469817971541;NA;NA;NA;NA;NA;0,230822764025509;NA
"would";-0,524483204492304;-0,443604335909952;-0,763522044336961;-0,645781764849014;NA;NA;NA;NA;NA;0,411274012629901;NA
"used";0,173272176031808;-0,294020903986558;0,507713746860552;-0,861525827383497;NA;NA;NA;NA;NA;0,194387154915514;NA
"such";-0,402530119776107;-0,157753162811018;-0,931053196181289;-0,364883468905631;NA;NA;NA;NA;NA;0,269362770771106;NA
"no";-0,10137882809239;-0,409699301103272;-0,240202370582302;-0,970722834369648;NA;NA;NA;NA;NA;0,232508412903071;NA
"will";-0,0268578819021534;-0,356892881149032;-0,0750425492460107;-0,997180332639317;NA;NA;NA;NA;NA;0,195388206422652;NA
"could";0,275509889236951;-0,427843269852098;0,541407876780301;-0,840760079309339;NA;NA;NA;NA;NA;0,291496017070281;NA
"using";0,228582945865285;-0,570597194879069;0,371873170514624;-0,928283547765122;NA;NA;NA;NA;NA;0,343297564821168;NA
"out";0,60262047910335;-0,217038463580214;0,940840088693376;-0,338850892735198;NA;NA;NA;NA;NA;0,400047664619598;NA
"use";0,283914358461468;-0,223785020197392;0,785364016907192;-0,619034216297774;NA;NA;NA;NA;NA;0,217506404719981;NA
"after";0,0935974778907406;-0,445754810662196;0,205494035673126;-0,97865836802368;NA;NA;NA;NA;NA;0,250248825924195;NA
"there";0,174580648735165;-0,0878431049293061;0,893292943395512;-0,449474935096256;NA;NA;NA;NA;NA;0,120627027066612;NA
"when";-0,363848106590449;-0,29849268366347;-0,77312479190647;-0,634253936637036;NA;NA;NA;NA;NA;0,282374413985215;NA
"take";-0,365264864419809;0,271675868919772;-0,802390111805068;0,596799889810186;NA;NA;NA;NA;NA;0,27495944084834;NA
"how";0,279913695082159;-0,090930905820705;0,951075055024393;-0,308959932208609;NA;NA;NA;NA;NA;0,18429699780005;NA
"these";0,0433936438953809;1,56573184734818;0,0277039700287956;0,999616171360109;NA;NA;NA;NA;NA;0,85437209427249;NA
"other";0,766298102918978;0,0565490697246147;0,997288209967329;0,0735950151855479;NA;NA;NA;NA;NA;0,486903614676632;NA
"your";0,586389981692615;-0,28321839964965;0,90047131000779;-0,434915416894889;NA;NA;NA;NA;NA;0,402648325264217;NA
"tell";-0,119003611174088;0,566309442464742;-0,205647369102803;0,978626159256483;NA;NA;NA;NA;NA;0,317942695929569;NA
"all";0,194373651407251;0,153536960476694;0,784717653845386;0,619853372777298;NA;NA;NA;NA;NA;0,149010179829504;NA
"what";0,286074503537693;-0,503543820676159;0,493970325748659;-0,869478761833642;NA;NA;NA;NA;NA;0,329131459999089;NA
"some";0,700440666498836;-0,230160754959995;0,950025327490895;-0,312172832139215;NA;NA;NA;NA;NA;0,46156128588286;NA
"our";0,577940401334073;-0,00262455584006595;0,999989688809483;-0,00454117547711217;NA;NA;NA;NA;NA;0,366487058697402;NA
"my";0,833499798772759;-0,16826016948873;0,980226230104941;-0,19788010969841;NA;NA;NA;NA;NA;0,536447172720369;NA
"now";-0,106575879513916;-0,121901851076807;-0,658195903997608;-0,752846698844307;NA;NA;NA;NA;NA;0,0948019029096231;NA
"it_s";-0,353865614941966;0,569209485533107;-0,527969302016809;0,849263455076152;NA;NA;NA;NA;NA;0,383046957505045;NA
"his";0,26307788046873;-0,530365170357323;0,444367273732402;-0,895844699730725;NA;NA;NA;NA;NA;0,333912937859234;NA
"do";0,281429893412294;-0,379023317230562;0,596146145969307;-0,802875938514751;NA;NA;NA;NA;NA;0,273091475040883;NA
"right";-0,866279522800239;-0,607240408787897;-0,818856611522949;-0,573998126970075;NA;NA;NA;NA;NA;0,641435827672267;NA
"last";-0,589647279868741;-0,615349784866319;-0,69186687184489;-0,722025090729932;NA;NA;NA;NA;NA;0,502430812546;NA
"being";-0,243244075275011;0,0160569037480855;-0,997828336343603;0,0658681348586479;NA;NA;NA;NA;NA;0,154494618279889;NA
"may";0,202131473488357;0,827865503395177;0,23719214932421;0,971462754972604;NA;NA;NA;NA;NA;0,469347685283379;NA
"according";-0,0913871133745442;-0,0342205417744357;-0,936496263799414;-0,35067755544052;NA;NA;NA;NA;NA;0,0608817244414036;NA
"way";0,588519863976498;0,394941189331643;0,830356833369301;0,557232024633283;NA;NA;NA;NA;NA;0,430892334895927;NA
"appear";0,947184191681309;-0,325673780060632;0,945662283484629;-0,325150496838982;NA;NA;NA;NA;NA;0,626341811734443;NA
"first";-1,16036798496297;-0,885528744923829;-0,794956282536464;-0,606666719752951;NA;NA;NA;NA;NA;0,880152269942307;NA
"x";0,401057618882507;-0,36943707227034;0,735506815713256;-0,677517323792792;NA;NA;NA;NA;NA;0,324460807576067;NA
"so";-0,510084152520292;-0,0677723991352124;-0,991288597657167;-0,131707692087011;NA;NA;NA;NA;NA;0,325560212225464;NA
"over";0,201224998164264;-0,120971806969428;0,857047633844892;-0,515237181617236;NA;NA;NA;NA;NA;0,143648555496882;NA
"down";-0,327855798239732;-0,128105333762238;-0,931422045268042;-0,363940892987717;NA;NA;NA;NA;NA;0,219326070367571;NA
"want";0,341458416212154;-0,295333396654279;0,756343434444509;-0,654174754307047;NA;NA;NA;NA;NA;0,269865386815784;NA
"own";-0,280577035059911;0,128098010287916;-0,90967759938293;0,415315139599931;NA;NA;NA;NA;NA;0,19114470625094;NA
"only";0,671783204896632;-0,872292072325383;0,610161057437064;-0,792277403430947;NA;NA;NA;NA;NA;0,638587604835489;NA
"most";0,177435498269764;0,361999365741062;0,440126875511169;0,897935595381303;NA;NA;NA;NA;NA;0,227240364080406;NA
"into";0,533277736507481;-0,358841748893253;0,82965634095331;-0,558274444978422;NA;NA;NA;NA;NA;0,390711423207637;NA
"us";0,0756156353747389;-1,29474343195931;0,0583026781153493;-0,998298952080276;NA;NA;NA;NA;NA;0,707761573924016;NA
"than";0,494788741429503;0,0127520585306513;0,999668048456615;0,0257641785225564;NA;NA;NA;NA;NA;0,31383310413588;NA
"says";-0,220445576319326;0,611124136974756;-0,33932017291972;0,940670941535738;NA;NA;NA;NA;NA;0,361426494977222;NA
"against";-0,71079316603665;0,488021064991137;-0,824393298124802;0,566017393731776;NA;NA;NA;NA;NA;0,523448012875899;NA
"me";0,686532743518893;-0,946045749896719;0,587331765471532;-0,809346277725483;NA;NA;NA;NA;NA;0,675085527379732;NA
"even";0,509538280051764;-0,0610016190406849;0,992909758719892;-0,118870564223469;NA;NA;NA;NA;NA;0,324817333915749;NA
"before";-0,0805496897486133;-0,324768383147496;-0,240728263700198;-0,970592552545036;NA;NA;NA;NA;NA;0,184342054123477;NA
"any";-0,478477998329733;-0,225815993930933;-0,904344918539478;-0,426802376178747;NA;NA;NA;NA;NA;0,327455516921164;NA
"another";0,0909530892854462;-0,570606078500006;0,157410179396676;-0,987533308512835;NA;NA;NA;NA;NA;0,316500196238458;NA
"say";0,363554102180473;0,0683553672505524;0,982779533082157;0,184782004953994;NA;NA;NA;NA;NA;0,233532185532028;NA
"did";0,0716632443020631;0,295880632683174;0,235397139809635;0,971899267707021;NA;NA;NA;NA;NA;0,167645833487218;NA
"because";0,290436079215552;0,183715509514681;0,84511796596919;0,534579857080398;NA;NA;NA;NA;NA;0,209662664681029;NA
"without";-1,30563661451497;-0,594360811486874;-0,910132718702945;-0,414316828461488;NA;NA;NA;NA;NA;0,889127931867223;NA
"where";0,415611297317864;-0,191951730060046;0,907850366961059;-0,419294301426422;NA;NA;NA;NA;NA;0,283579025306321;NA
"those";-0,737869595370992;0,00764376914856959;-0,99994634737859;0,0103586854483065;NA;NA;NA;NA;NA;0,467917327419936;NA
"should";-1,01426522976633;-0,382938360044481;-0,935541754905516;-0,353216116320175;NA;NA;NA;NA;NA;0,676226268257121;NA
"need";-0,908121845082956;-0,316587631432003;-0,944264533147922;-0,329187623459535;NA;NA;NA;NA;NA;0,601187428486251;NA
"name";0,75250941909251;-0,141445531876719;0,982789287510938;-0,184730117614165;NA;NA;NA;NA;NA;0,483377484757182;NA
"already";-0,154939469547816;-0,62809309013241;-0,239502810338509;-0,970895670934811;NA;NA;NA;NA;NA;0,356364974553413;NA
"while";-0,612379601968298;-0,771800466503778;-0,621557935807724;-0,783368197231954;NA;NA;NA;NA;NA;0,572692146886718;NA
"know";-0,278373291559519;0,475344829752762;-0,505345035497185;0,862917374433004;NA;NA;NA;NA;NA;0,313638268436202;NA
"2";1,48138527448183;-1,51709981166491;0,698634975625452;-0,715478281174784;NA;NA;NA;NA;NA;1,25181097677326;NA
"behind";0,239288354491549;-0,168298524169602;0,81795050346067;-0,575288600520153;NA;NA;NA;NA;NA;0,177339653412001;NA
"whether";-0,961293462543833;0,770319267623192;-0,780359901366131;0,625330652007274;NA;NA;NA;NA;NA;0,740328168745588;NA
