%%MatrixMarket matrix coordinate integer general
671 1035 8698
1 1 1
4 1 1
13 1 1
15 1 1
17 1 1
22 1 1
23 1 1
25 1 1
26 1 1
27 1 1
32 1 1
35 1 1
49 1 1
59 1 1
63 1 1
74 1 1
109 1 1
114 1 1
115 1 1
122 1 1
179 1 1
220 1 1
223 1 1
230 1 1
234 1 1
236 1 1
237 1 1
353 1 1
355 1 1
371 1 1
399 1 1
400 1 1
402 1 1
417 1 1
440 1 1
441 1 1
464 1 1
488 1 1
498 1 1
560 1 1
564 1 1
658 1 1
1 2 1
4 2 1
11 2 1
513 2 1
592 2 1
1 3 1
105 3 1
626 3 1
634 3 1
1 4 1
11 4 1
352 4 1
576 4 1
581 4 1
629 4 1
632 4 1
636 4 1
639 4 1
1 5 1
3 5 1
9 5 1
419 5 1
443 5 1
496 5 1
608 5 1
1 6 1
2 6 1
4 6 1
7 6 1
11 6 1
12 6 1
13 6 1
14 6 1
16 6 1
17 6 1
21 6 1
22 6 1
24 6 1
36 6 1
43 6 1
47 6 1
48 6 1
63 6 1
64 6 1
111 6 1
112 6 1
116 6 1
122 6 1
125 6 1
136 6 1
137 6 1
140 6 1
141 6 1
146 6 1
167 6 1
170 6 1
177 6 1
178 6 1
187 6 1
196 6 1
198 6 1
199 6 1
211 6 1
216 6 1
217 6 1
219 6 1
222 6 1
223 6 1
230 6 1
233 6 1
236 6 1
240 6 1
241 6 1
242 6 1
243 6 1
244 6 1
248 6 1
250 6 1
253 6 1
257 6 1
259 6 1
264 6 1
268 6 1
270 6 1
271 6 1
273 6 1
274 6 1
276 6 1
277 6 1
279 6 1
282 6 1
287 6 1
288 6 1
289 6 1
290 6 1
293 6 1
298 6 1
299 6 1
306 6 1
307 6 1
308 6 1
310 6 1
312 6 1
316 6 1
317 6 1
318 6 1
319 6 1
320 6 1
324 6 1
331 6 1
332 6 1
333 6 1
336 6 1
337 6 1
375 6 1
376 6 1
380 6 1
381 6 1
382 6 1
383 6 1
384 6 1
390 6 1
395 6 1
400 6 1
401 6 1
403 6 1
404 6 1
405 6 1
406 6 1
407 6 1
408 6 1
414 6 1
417 6 1
419 6 1
420 6 1
428 6 1
431 6 1
433 6 1
434 6 1
435 6 1
436 6 1
445 6 1
448 6 1
453 6 1
455 6 1
468 6 1
469 6 1
470 6 1
471 6 1
473 6 1
474 6 1
475 6 1
476 6 1
477 6 1
480 6 1
481 6 1
482 6 1
483 6 1
484 6 1
486 6 1
487 6 1
489 6 1
490 6 1
491 6 1
492 6 1
494 6 1
497 6 1
498 6 1
499 6 1
500 6 1
501 6 1
505 6 1
506 6 1
507 6 1
509 6 1
510 6 1
511 6 1
512 6 1
513 6 1
515 6 1
516 6 1
520 6 1
522 6 1
536 6 1
541 6 1
542 6 1
546 6 1
563 6 1
565 6 1
566 6 1
568 6 1
573 6 1
576 6 1
582 6 1
585 6 1
587 6 1
593 6 1
604 6 1
606 6 1
611 6 1
612 6 1
613 6 1
616 6 1
617 6 1
619 6 1
622 6 1
623 6 1
627 6 1
630 6 1
631 6 1
632 6 1
633 6 1
634 6 1
635 6 1
638 6 1
639 6 1
640 6 1
641 6 1
642 6 1
643 6 1
644 6 1
645 6 1
646 6 1
647 6 1
657 6 1
662 6 1
663 6 1
664 6 1
670 6 1
1 7 1
63 7 1
225 7 1
1 8 1
4 8 1
7 8 1
13 8 1
15 8 1
23 8 1
25 8 1
29 8 1
32 8 1
39 8 1
43 8 1
47 8 1
48 8 1
53 8 1
55 8 1
57 8 1
61 8 1
113 8 1
117 8 1
118 8 1
127 8 1
130 8 1
131 8 1
168 8 1
173 8 1
179 8 1
185 8 1
189 8 1
190 8 1
199 8 1
203 8 1
230 8 1
240 8 1
260 8 1
264 8 1
266 8 1
271 8 1
316 8 1
331 8 1
335 8 1
340 8 1
343 8 1
346 8 1
347 8 1
352 8 1
353 8 1
354 8 1
358 8 1
366 8 1
367 8 1
371 8 1
374 8 1
375 8 1
376 8 1
377 8 1
383 8 1
481 8 1
496 8 1
497 8 1
499 8 1
516 8 1
567 8 1
569 8 1
582 8 1
